aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,taxi_fuel,reserve_fuel,save_plot,cruise_mode,initial_fuel_lb,takeoff_weight_lb,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts,achieved_alt_ft,altitude_limited,achieved_mach,mach_limited,reserve_fuel_calc_lb
CJ1,Flatwing,0,10,41000,0.65,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1301.0,219,2740,37005,372.793380268962,195.0,37005,True,0.65,False,700
CJ1,Flatwing,0,10,41000,0.65,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1282.0,218,2740,37001,372.793380268962,194.0,37001,True,0.65,False,700
CJ1,Flatwing,0,10,41000,0.65,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1145.0,196,2500,37003,372.793380268962,194.0,37003,True,0.65,False,700
CJ1,Flatwing,0,10,41000,0.65,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,977.0,169,2200,37003,372.793380268962,193.0,37003,True,0.65,False,700
CJ1,Flatwing,0,10,41000,0.65,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,812.0,142,1900,37003,371.1391984217135,192.0,37003,True,0.6471157797921847,True,700
CJ1,Flatwing,0,10,41000,0.65,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,647.0,115,1600,37003,368.5922074317017,191.0,37003,True,0.6426748636409557,True,700
CJ1,Flatwing,0,10,41000,0.64,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1309.0,223,2740,37005,367.0580974955933,192.0,37005,True,0.64,False,700
CJ1,Flatwing,0,10,41000,0.64,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1289.0,220,2740,37001,367.0580974955933,192.0,37001,True,0.64,False,700
CJ1,Flatwing,0,10,41000,0.64,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1149.0,197,2500,37003,367.0580974955933,192.0,37003,True,0.64,False,700
CJ1,Flatwing,0,10,41000,0.64,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,979.0,170,2200,37003,367.0580974955933,192.0,37003,True,0.64,False,700
CJ1,Flatwing,0,10,41000,0.64,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,812.0,142,1900,37003,367.0580974955933,192.0,37003,True,0.64,False,700
CJ1,Flatwing,0,10,41000,0.64,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,647.0,115,1600,37003,367.0580974955933,191.0,37003,True,0.64,False,700
CJ1,Flatwing,0,10,41000,0.63,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1317.0,227,2740,37005,361.3228147222247,189.0,37005,True,0.63,False,700
CJ1,Flatwing,0,10,41000,0.63,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1297.0,224,2740,37001,361.3228147222247,189.0,37001,True,0.63,False,700
