aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,taxi_fuel,reserve_fuel,save_plot,initial_fuel_lb,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,achieved_alt_ft,altitude_limited,achieved_mach,mach_limited
CJ1,Tamarack,0,-10,35000,0.64,1261,100,600,False,2210,ok,,187.45926971311562,43,628,35003,337,35003,False,0.5094636270182016,True
CJ1,Tamarack,0,-10,35000,0.64,1471,100,600,False,2000,ok,,187.45926971311562,43,628,35003,337,35003,False,0.5094636270182016,True
CJ1,Flatwing,0,0,35000,0.64,0,100,600,False,3440,ok,,772.6254231828522,137,1860,35008,423,35008,False,0.6394751164056358,False
CJ1,Tamarack,0,0,35000,0.64,0,100,600,False,3440,ok,,787.1033255567486,140,1858,35008,423,35008,False,0.6394751164056358,False
CJ1,Flatwing,0,0,35000,0.64,164,100,600,False,3386,ok,,742.3965329416714,133,1803,35003,423,35003,False,0.6394751164056358,False
CJ1,Tamarack,0,0,35000,0.64,210,100,600,False,3261,ok,,696.7741688240454,126,1675,35001,423,35001,False,0.6394751164056358,False
CJ1,Flatwing,0,0,35000,0.64,329,100,600,False,3221,ok,,662.4617598514918,120,1637,35003,423,35003,False,0.6394751164056358,False
CJ1,Tamarack,0,0,35000,0.64,420,100,600,False,3051,ok,,593.2780418228466,109,1463,35001,423,35001,False,0.6394751164056358,False
CJ1,Flatwing,0,0,35000,0.64,493,100,600,False,3057,ok,,582.5235893628078,107,1469,35003,423,35003,False,0.6394751164056358,False
CJ1,Tamarack,0,0,35000,0.64,631,100,600,False,2840,ok,,488.7540348243257,92,1249,35001,423,35001,False,0.6394751164056358,False
CJ1,Flatwing,0,0,35000,0.64,657,100,600,False,2893,ok,,503.61000515704853,94,1303,35003,423,35003,False,0.6394751164056358,False
CJ1,Flatwing,0,0,35000,0.64,821,100,600,False,2729,ok,,424.6973592658997,81,1136,35003,423,35003,False,0.6394751164056358,False
CJ1,Tamarack,0,0,35000,0.64,841,100,600,False,2630,ok,,385.25456012515446,75,1035,35001,423,35001,False,0.6394751164056358,False
CJ1,Flatwing,0,0,35000,0.64,986,100,600,False,2564,ok,,345.7843975526192,68,969,35003,423,35003,False,0.6394751164056358,False
CJ1,Tamarack,0,0,35000,0.64,1051,100,600,False,2420,ok,,282.780920163406,58,823,35001,423,35001,False,0.6394751164056358,False
CJ1,Flatwing,0,0,35000,0.64,1150,100,600,False,2400,ok,,267.89283160265916,55,803,35003,423,35003,False,0.6394751164056358,False
CJ1,Tamarack,0,0,35000,0.64,1261,100,600,False,2210,ok,,195.18652791232535,44,632,35001,337,35001,False,0.5094636270182016,True
CJ1,Tamarack,0,0,35000,0.64,1471,100,600,False,2000,ok,,195.18652791232535,44,632,35001,337,35001,False,0.5094636270182016,True
CJ1,Flatwing,0,10,35000,0.64,0,100,600,False,3440,ok,,796.8100848991685,142,1857,35000,423,35000,False,0.6394751164056358,False
CJ1,Tamarack,0,10,35000,0.64,0,100,600,False,3440,ok,,816.4642521776876,146,1857,35007,423,35007,False,0.6394751164056358,False
CJ1,Flatwing,0,10,35000,0.64,164,100,600,False,3386,ok,,765.5130497219508,137,1801,35004,423,35004,False,0.6394751164056358,False
CJ1,Tamarack,0,10,35000,0.64,210,100,600,False,3261,ok,,722.5568636691197,130,1674,35006,423,35006,False,0.6394751164056358,False
CJ1,Flatwing,0,10,35000,0.64,329,100,600,False,3221,ok,,682.9000409103216,123,1634,35004,423,35004,False,0.6394751164056358,False
CJ1,Tamarack,0,10,35000,0.64,420,100,600,False,3051,ok,,614.4598775002445,113,1462,35006,423,35006,False,0.6394751164056358,False
CJ1,Flatwing,0,10,35000,0.64,493,100,600,False,3057,ok,,600.2834276475401,110,1468,35004,423,35004,False,0.6394751164056358,False
CJ1,Tamarack,0,10,35000,0.64,631,100,600,False,2840,ok,,505.33968109998693,95,1246,35006,423,35006,False,0.6394751164056358,False
CJ1,Flatwing,0,10,35000,0.64,657,100,600,False,2893,ok,,518.6884600006528,96,1302,35004,423,35004,False,0.6394751164056358,False
CJ1,Flatwing,0,10,35000,0.64,821,100,600,False,2729,ok,,437.08984020769026,83,1136,35004,423,35004,False,0.6394751164056358,False
CJ1,Tamarack,0,10,35000,0.64,841,100,600,False,2630,ok,,398.25868951868995,77,1034,35006,423,35006,False,0.6394751164056358,False
CJ1,Flatwing,0,10,35000,0.64,986,100,600,False,2564,ok,,355.4928057785716,70,969,35004,423,35004,False,0.6394751164056358,False
